[2014-03-03 12:56:24,993]ERROR 98957[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:25,027]ERROR 98991[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:29,751]ERROR103715[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:29,770]ERROR103734[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:45,145]ERROR119109[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:45,163]ERROR119127[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:51,128]ERROR125092[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:51,146]ERROR125110[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:55,723]ERROR129687[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:56:55,768]ERROR129732[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:04,015]ERROR137979[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:04,032]ERROR137996[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:09,288]ERROR143252[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:09,517]ERROR143481[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:15,061]ERROR149025[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:15,284]ERROR149248[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:21,286]ERROR155250[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:21,303]ERROR155267[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:25,532]ERROR159496[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:25,551]ERROR159515[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:31,120]ERROR165084[Thread-40-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:31,148]ERROR165112[Thread-34-ThresholdBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:36,090]ERROR170054[Thread-34-ThresholdBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:36,312]ERROR170276[Thread-34-ThresholdBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:41,225]ERROR175189[Thread-34-ThresholdBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:41,244]ERROR175208[Thread-28-cassandraBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:45,830]ERROR179794[Thread-28-cassandraBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:46,052]ERROR180016[Thread-28-cassandraBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 12:57:50,326]ERROR184290[Thread-28-cassandraBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:01:35,834]ERROR 42211[Thread-30-AuthenticationBolt](Authentication.java:71) - Unable to connect cassandra @ Authentication :isautheroziedDevicetype
[2014-03-03 13:01:39,095]ERROR 45472[Thread-28-cassandraBolt](EventDao.java:84) - java.sql.SQLNonTransientConnectionException: org.apache.thrift.transport.TTransportException: Read a negative frame size (-2147418109)!
[2014-03-03 13:01:50,414]ERROR 56791[Thread-22-AuthenticationBolt](Authentication.java:71) - Unable to connect cassandra @ Authentication :isautheroziedDevicetype
[2014-03-03 13:48:44,704]ERROR 20297[Thread-36-cassandraBolt](EventDao.java:84) - java.sql.SQLNonTransientConnectionException: org.apache.thrift.TApplicationException: execute_cql_query failed: out of sequence response
[2014-03-03 13:48:55,406]ERROR 30999[Thread-40-AuthenticationBolt](Authentication.java:71) - Unable to connect cassandra @ Authentication :isautheroziedDevicetype
[2014-03-03 13:48:55,406]ERROR 30999[Thread-46-cassandraBolt](EventDao.java:84) - java.sql.SQLNonTransientConnectionException: org.apache.thrift.TApplicationException: execute_cql_query failed: out of sequence response
[2014-03-03 13:52:18,654]ERROR 12665[Thread-36-cassandraBolt](EventDao.java:84) - java.sql.SQLNonTransientConnectionException: org.apache.thrift.transport.TTransportException: Read a negative frame size (-2147418110)!
[2014-03-03 13:52:18,684]ERROR 12695[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:19,656]ERROR 13667[Thread-38-cassandraBolt](EventDao.java:84) - java.sql.SQLNonTransientConnectionException: org.apache.thrift.transport.TTransportException
[2014-03-03 13:52:22,826]ERROR 16837[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:23,046]ERROR 17057[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:28,292]ERROR 22303[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:28,516]ERROR 22527[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:33,329]ERROR 27340[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:33,552]ERROR 27563[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:39,557]ERROR 33568[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:39,658]ERROR 33669[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
[2014-03-03 13:52:44,882]ERROR 38893[Thread-22-AuthenticationBolt](CassandraConnector.java:54) - unable to connect Cassandra
